Brand,Model,Name,Fuel,Year,Month,Date,Sales
Chevrolet,Volt,Chevrolet Volt,PHEV,2010,DEC,2010-12-01,326
Chevrolet,Volt,Chevrolet Volt,PHEV,2011,JAN,2011-01-01,321
Chevrolet,Volt,Chevrolet Volt,PHEV,2011,FEB,2011-02-01,281
Chevrolet,Volt,Chevrolet Volt,PHEV,2011,MAR,2011-03-01,608
Chevrolet,Volt,Chevrolet Volt,PHEV,2011,APR,2011-04-01,493
Chevrolet,Volt,Chevrolet Volt,PHEV,2011,MAY,2011-05-01,481
Chevrolet,Volt,Chevrolet Volt,PHEV,2011,JUN,2011-06-01,561
Chevrolet,Volt,Chevrolet Volt,PHEV,2011,JUL,2011-07-01,125
Chevrolet,Volt,Chevrolet Volt,PHEV,2011,AUG,2011-08-01,302
Chevrolet,Volt,Chevrolet Volt,PHEV,2011,SEP,2011-09-01,723
Chevrolet,Volt,Chevrolet Volt,PHEV,2011,OCT,2011-10-01,1108
Chevrolet,Volt,Chevrolet Volt,PHEV,2011,NOV,2011-11-01,1139
Chevrolet,Volt,Chevrolet Volt,PHEV,2011,DEC,2011-12-01,1529
Nissan,LEAF,Nissan LEAF,BEV,2010,DEC,2010-12-01,19
Nissan,LEAF,Nissan LEAF,BEV,2011,JAN,2011-01-01,87
Nissan,LEAF,Nissan LEAF,BEV,2011,FEB,2011-02-01,67
Nissan,LEAF,Nissan LEAF,BEV,2011,MAR,2011-03-01,298
Nissan,LEAF,Nissan LEAF,BEV,2011,APR,2011-04-01,573
Nissan,LEAF,Nissan LEAF,BEV,2011,MAY,2011-05-01,1142
Nissan,LEAF,Nissan LEAF,BEV,2011,JUN,2011-06-01,1708
Nissan,LEAF,Nissan LEAF,BEV,2011,JUL,2011-07-01,931
Nissan,LEAF,Nissan LEAF,BEV,2011,AUG,2011-08-01,1362
Nissan,LEAF,Nissan LEAF,BEV,2011,SEP,2011-09-01,1031
Nissan,LEAF,Nissan LEAF,BEV,2011,OCT,2011-10-01,849
Nissan,LEAF,Nissan LEAF,BEV,2011,NOV,2011-11-01,672
Nissan,LEAF,Nissan LEAF,BEV,2011,DEC,2011-12-01,954
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2010,DEC,2010-12-01,0
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2011,JAN,2011-01-01,0
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2011,FEB,2011-02-01,0
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2011,MAR,2011-03-01,0
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2011,APR,2011-04-01,0
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2011,MAY,2011-05-01,0
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2011,JUN,2011-06-01,0
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2011,JUL,2011-07-01,0
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2011,AUG,2011-08-01,0
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2011,SEP,2011-09-01,0
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2011,OCT,2011-10-01,0
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2011,NOV,2011-11-01,0
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2011,DEC,2011-12-01,80
Chevrolet,Volt,Chevrolet Volt,PHEV,2012,JAN,2012-01-01,603
Toyota,Prius PHV,Toyota Prius PHV,PHEV,2012,JAN,2012-01-01,0
Nissan,LEAF,Nissan LEAF,BEV,2012,JAN,2012-01-01,676
Tesla,Model S,Tesla Model S,BEV,2012,JAN,2012-01-01,0
Ford,C-Max Energi,Ford C-Max Energi,PHEV,2012,JAN,2012-01-01,0
Ford,Focus Electric,Ford Focus Electric,BEV,2012,JAN,2012-01-01,2
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2012,JAN,2012-01-01,36
