Model,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Tesla Model S,1100,1150,2450,1700,2400,2800,1600,1300,2500,1900,2702,3600
Nissan LEAF,1070,1198,1817,1553,2104,2074,1174,1393,1247,1238,1054,1347
Chevrolet Volt,542,693,639,905,1618,1225,1313,1380,949,2035,1980,2114
BMW i3,670,1089,922,406,818,551,935,792,1710,986,723,1422
Ford Fusion Energi,426,603,837,711,986,727,852,949,808,849,944,1058
Ford C-Max Energi,395,498,715,553,715,667,693,723,719,695,639,579
Fiat 500e,259,315,1310,717,420,363,485,610,635,425,390,265
VW e-Golf,181,130,195,309,410,293,313,381,343,596,472,609
Toyota Prius PHV,401,397,473,428,727,464,584,344,216,91,44,22
Chevrolet Spark EV,86,119,151,920,283,226,57,135,157,177,166,152
BMW i8,85,113,143,138,117,137,217,210,182,149,188,656
Mercedes B-Class ED,240,109,145,158,278,242,196,172,147,81,41,97
Ford Focus Electric,85,145,140,124,165,152,135,176,145,126,93,96
smart ED,147,76,103,124,102,94,109,106,94,75,178,179
Porsche Cayenne S-E,66,71,72,88,105,88,77,83,70,125,121,137
Cadillac ELR,92,127,92,104,116,62,66,45,36,82,67,135
Kia Soul EV,69,48,63,73,108,109,59,93,105,109,83,96
BMW X5 xDrive 40e,0,0,0,0,0,0,0,0,0,118,167,607
Porsche Panamera S-E,61,40,44,30,21,34,23,36,41,28,33,16
Tesla Model X,0,0,0,0,0,0,0,0,6,4,5,199
Porsche 918 Spyder,34,14,10,28,20,29,40,22,4,0,2,0
Hyundai Sonata PHV,0,0,0,0,0,0,0,0,0,0,15,145
Mercedes S550 PHV,0,0,0,0,0,0,10,10,17,25,21,35
Mitsubishi i-MiEV,3,2,10,16,18,23,12,6,3,9,4,9
Volvo XC90,0,0,0,0,0,0,0,4,0,1,7,74
Honda Accord PHV,28,12,5,5,5,4,1,2,0,0,1,1
Audi A3 Sprtbk e-tron,0,0,0,0,0,0,0,0,0,0,0,49
Other,17,2,5,4,4,0,0,0,0,2,0,0
