Model,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
Tesla Model S,850,1550,3990,800,1200,3700,1954,2852,4350,700,1100,5850,28896
Chevrolet Volt,996,1126,1865,1983,1901,1937,2406,2081,2031,2191,2531,3691,24739
Tesla Model X,270,270,1860,795,1600,2145,750,1833,3200,725,900,3875,18223
Ford Fusion Energi,581,932,1238,1331,1453,1700,1341,1422,1652,1372,1817,1099,15938
Nissan LEAF,755,930,1246,787,979,1096,1063,1066,1316,1412,1457,1899,14006
Ford C-Max Energi,350,490,610,607,538,630,755,707,689,571,721,1289,7957
BMW i3,182,248,332,814,696,608,1479,1013,391,442,629,791,7625
BMW X5 xDrive 40e,181,345,313,655,500,583,649,876,482,406,436,569,5995
Fiat 500e,305,210,455,395,425,280,225,360,690,745,590,650,5330
Audi A3 Sprtbk e-tron,327,243,332,326,361,353,349,346,312,348,394,589,4280
VW e-Golf,328,198,86,326,269,248,344,454,529,407,305,443,3937
Hyundai Sonata PHV,175,200,275,250,235,225,375,235,260,255,285,325,3095
Chevrolet Spark EV,139,216,252,419,394,359,333,292,315,260,39,17,3035
Toyota Prius Prime,0,0,0,0,0,0,0,0,0,0,781,1641,2422
Porsche Cayenne S-E,146,172,244,237,191,176,148,197,131,138,179,152,2111
Volvo XC90,226,176,178,150,110,166,178,176,148,142,161,204,2015
Kia Soul EV,81,60,79,139,120,134,179,153,217,190,179,197,1728
BMW i8,32,54,89,130,146,169,166,145,158,199,173,133,1594
Ford Focus Electric,66,81,110,81,54,54,58,75,82,73,66,101,901
BMW 330e,0,0,19,25,67,26,81,51,54,92,215,240,870
smart ED,48,54,70,66,75,53,62,55,44,43,47,40,657
Mercedes B250e,58,37,66,56,49,44,50,57,51,58,52,54,632
Chevrolet Bolt EV,0,0,0,0,0,0,0,0,0,0,0,579,579
Mercedes S550 PHV,19,36,12,29,27,27,32,30,41,174,52,71,550
Cadillac ELR,67,91,104,95,45,94,15,6,6,3,5,3,534
Porsche Panamera S-E,27,33,23,25,26,22,21,59,28,38,88,3,393
Mercedes S550 PHV,0,0,0,0,0,19,30,24,26,19,30,83,231
Mercedes C350e,0,0,0,0,0,0,0,0,0,0,0,171,171
Mitsubishi i-MiEV,2,5,1,6,2,4,20,25,17,4,5,3,94
Toyota Prius PHV,10,6,7,4,4,11,4,2,4,0,0,0,52
BMW 740e,0,0,0,0,0,0,0,0,0,0,0,23,23
Other,0,0,1,0,0,0,0,0,0,0,0,0,1
