Model,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV
Tesla Model 3,1875,2485,3820,3750,6000,5902,14250,17800,22250,17750,18650
Toyota Prius Prime,1496,2050,2922,2626,2924,2237,1984,2071,2213,2001,2312
Tesla Model S,800,1125,3375,1250,1520,2750,1200,2625,3750,1350,2750
Tesla Model X,700,975,2825,1025,1450,2550,1325,2750,3975,1225,3200
Chevrolet Volt,713,983,1782,1325,1675,1336,1475,1825,2129,1475,3930
Chevrolet Bolt EV,1177,1424,1774,1275,1125,1083,1175,1225,1549,2075,3025
Honda Clarity PHEV,594,881,1061,1049,1639,1445,1440,1495,2028,1935,1857
Nissan LEAF,150,895,1500,1171,1576,1367,1149,1315,1563,1234,1128
BMW 530e,224,413,689,518,729,942,536,749,756,733,1012
Ford Fusion Energi,640,794,782,742,740,604,522,396,480,453,1131
Chrysler Pacifica Hybrid,375,450,480,425,650,710,450,654,637,623,895
BMW i3,382,623,992,503,424,580,464,418,461,424,490
BMWX5 xDrive 40e,261,596,627,563,499,321,431,264,225,224,213
Mitsubishi Outlander PHEV,300,323,373,273,297,390,350,366,378,309,376
Kia Niro PHEV,155,246,227,120,218,281,225,346,313,323,619
Audi A3 Sportback e-tron,145,199,214,189,267,238,220,240,230,210,180
Fiat 500e,210,235,285,215,250,225,220,75,94,100,148
Volvo XC60 PHEV,109,155,167,141,214,226,185,210,215,180,225
BMW 330e,101,142,202,166,150,138,106,192,195,229,373
Porsche Panamera E-Hybrid,1,2,49,336,275,168,195,200,210,170,200
Mercedes C350e,29,172,208,158,166,176,165,170,82,75,80
Hyundai IONIQ PHEV,22,178,218,180,217,143,180,43,11,128,136
Mini Countryman SE PHEV,127,100,74,106,163,211,210,128,140,117,74
Volvo XC90 T8 PHEV,99,106,93,90,126,133,115,125,120,100,130
Volkswagen e-Golf ,178,198,164,128,76,32,18,32,14,62,230
smart ED,84,90,103,80,110,126,103,108,98,95,100
Kia Soul EV,115,163,157,152,133,57,130,33,18,61,61
Honda Clarity BEV,203,104,48,52,37,126,120,75,122,116,37
Porsche Cayenne S-E,113,121,197,265,59,12,15,45,60,25,35
Kia Optima PHEV,86,103,156,142,98,83,90,39,17,51,79
Mercedes GLE 550e,44,70,181,93,83,75,85,90,42,28,35
BMW i8,32,39,47,57,64,45,72,67,55,64,133
Ford C-Max Energi,234,142,105,57,18,6,4,4,12,0,0
Ford Focus Electric,70,73,137,83,88,50,46,7,4,0,1
Hyundai Sonata PHEV,52,54,78,38,67,62,60,20,15,5,5
Mercedes GLC 350e,,5,57,59,64,66,60,65,27,20,24
Volvo S90 T8 PHEV,27,29,52,29,30,35,30,40,45,35,40
Hyundai IONIQ EV,49,3,60,7,32,47,35,21,12,21,34
BMW 740e,18,23,31,60,17,16,40,18,25,45,18
Cadillac CT6 PHEV,6,24,17,42,30,18,26,23,11,12,13
Jaguar I-Pace,0,0,0,0,0,0,0,0,0,5,165
Mercedes B250e,40,49,33,7,3,0,0,1,0,1,0
Mercedes S550e,13,3,11,9,7,7,8,10,8,5,4
